ID,NameProduct
1,Macbook Pro 15 inch Touch Bar 512GB
2,Macbook Pro 13 Touch Bar 512GB
3,Macbook 12 256GB (2017)
4,Macbook Air 13 256GB MQD42SA/A 
5,Asus TUF FX504GD-E4571T/i5-8300H
6,ASUS ROG FX503VD-E4119T/i7-7700HQ 
7,Asus UX430UA-GV261T
8,Asus GL503VM - GZ219T
9,Dell XPS 15 9560
10,Dell Ins N7370/Core i7-8550U
11,Dell N7567E
12,Dell Ins N7370/i5-8250U
13,MSI GE62 6QD-1297XVN
14,MSI GP62M 7REX-1884XVN/i7-7700HQ 
15,MSI GL72M 7REX - 1427XVN
16,MSI GP62 6QE-1221XVN
17,iPhone X 256GB
18,iPhone 7 Plus 32GB
19,iPhone 8 256GB
20,iPhone 6s Plus 32GB
21,Samsung Galaxy S9 +
22,Samsung Galaxy Note 8
23,Samsung Galaxy A8+ (2018)
24,Samsung Galaxy J7+
25,OPPO F7 128GB
26,SOPPO F5 6GB
27,OPPO F5 Youth
28,OPPO F1s 2017 (64GB)
29,Nokia 8
30,Nokia 6
31,Nokia 5
32,Nokia 3
33,Canon EOS 3000D + Lens EF-S
34,Canon EOS M50 + Kit 15-45mm (24.1MP)
35,Canon 750D + Lens 18-55 IS STM
36,Canon Powershot G7X Mark II
37,Nikon D7200 Kit 18-140mm
38,Nikon D5300 KIT 18-55 VR
39,Nikon D610
40,Nikon D5600 KIT AF-P 18-55 VR
41,Sony Alpha A7 Mark II
42,Sony Cyber-Shot DSC-RX10 III
43,Sony Alpha A7R MARK III Body
44,Sony Alpha A6000 + 16-50mm
45,Smart TV 4K Samsung QLED 75 inch
46,Smart Tivi Samsung 75 inch UHD
47,Smart TV Cong 4K Samsung QLED
48,Smart TV 4K Samsung QLED 65 inch
49,Smart Tivi Sony 55 inch 4K
50,Smart Tivi Sony 49 inch 4K
51,Smart Tivi Sony 65 inch 4K HDR
52,Smart TV 4K Samsung QLED 65 inch
53,Laptop Apple MacBook Air 13 inch M1 2020
54,Laptop Apple MacBook Air 13 inch M2 2022
55,Laptop Apple MacBook Pro 13 inch M2 2022
56,Laptop MacBook Air 15 inch M2 2023
57,Laptop MacBook Pro 16 inch M2 Pro 2023
58,Laptop Apple MacBook Pro 16 inch M2 Pro 2023
59,Laptop MacBook Air 15 inch M2 2023
60,Laptop MacBook Air 15 inch M5 2023
61,Laptop Asus TUF Gaming F15 FX506HF
62,Laptop Asus Vivobook Go 15 E1504FA
63,Laptop Asus Vivobook 16 X1605VA
64,Laptop Asus Vivobook 15 X1504ZA
65,Laptop Asus Vivobook X515EA
66,Laptop Asus Vivobook X515EA
67,Laptop Asus Vivobook X415EA
68,Laptop Asus Vivobook 15 X1504VA
69,Laptop Asus TUF Gaming F15 FX506HE
70,Laptop Asus Vivobook 15 OLED A1505VA
71,Laptop Asus VivoBook X515MA
72,Laptop Asus Vivobook 15 OLED A1505ZA
73,Laptop Asus Vivobook 15 X1504VA
74,Laptop Asus TUF Gaming F15 FX506HC
75,Laptop Asus Vivobook 15 OLED A1505VA
76,Laptop Asus Vivobook 16 OLED A1505VA
77,Laptop Asus Vivobook S 14 Flip TP3402VA
78,Laptop Asus TUF Gaming F15 FX507ZC4
79,Laptop Asus TUF Gaming F17 FX706HF
80,Laptop Asus Gaming TUF Dash F15 FX517ZE
81,Laptop Dell Vostro 15 3520
82,Laptop Dell Inspiron 15 3520
83,Laptop Dell Inspiron 17 3520
84,Laptop Dell Vostro 3520
85,Laptop Dell Inspiron 15 3520 i5
86,Laptop Dell Inspiron 15 3520 i6
87,Laptop Dell Inspiron 15 3530 i7
88,Laptop Dell Inspiron 15 3530 i8
89,Laptop Dell Vostro 15 3520 i5
90,Laptop Dell Vostro 3430
91,Laptop Dell Inspiron 16 5620
92,Laptop Gigabyte Gaming G5
93,Laptop Gigabyte Gaming G6
94,Laptop LG gram 2023
95,Laptop LG gram UltraSlim 2023
96,Laptop LG gram 2023 i7
97,Laptop LG gram Style 2023
98,Laptop Lenovo Ideapad 3 15ITL6
99,Laptop Lenovo Ideapad 2 15ITL6
100,Laptop Lenovo IdeaPad Slim 5 Light
